player_id,player_name,season_club_name,current_club_name,position,sub_position,role_group,comparison_group,age_at_season_end,minutes_played,current_market_value_in_eur,football_ability_value,predicted_value,valuation_gap,elite_trajectory_probability,positive_signals,negative_signals,guardrails_applied,interpretation,absolute_gap
262749,David Raya,Arsenal FC,Arsenal FC,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,30.688569472963724,3330,35000000.0,34808625.48270442,35000000.0,0.0,0.0,strong clean sheets for Goalkeepers (100th percentile) | meaningful minutes in a title-winning side | heavy league usage: 3330 minutes | major squad role: 97% of team minutes | strong market memory: previous known value was €40.0m,,,David Raya: the model sees him as broadly fairly valued. Final model value is €35.0m.,0.0
192279,Kepa Arrizabalaga,Arsenal FC,Arsenal FC,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,31.638603696098563,90,7000000.0,8300755.861544004,7896199.114151962,896199.1141519621,0.0,low goals conceded for Goalkeepers (8th percentile),low saves for Goalkeepers (8th percentile) | low clean sheets for Goalkeepers (12th percentile) | limited sample/current-season minutes: 90 | small squad role: 3% of team minutes,,Kepa Arrizabalaga: the model sees him as broadly fairly valued. Final model value is €7.9m.,896199.1141519621
435338,Gabriel,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,28.42710472279261,2751,75000000.0,65923911.06279337,75000000.0,0.0,0.0,elite market memory: previous known value was €75.0m | strong blocks for Centre-Backs (89th percentile) | meaningful minutes in a title-winning side | heavy league usage: 2751 minutes | major squad role: 80% of team minutes,,elite non-attacking role floor: €75.0m | final estimate is €9.1m above pure football-ability value,"Gabriel: the model sees him as broadly fairly valued. The raw football-ability estimate was €65.9m, but guardrail logic protected the final valuation at €75.0m.",0.0
495666,William Saliba,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,25.166324435318277,2615,90000000.0,71965279.3040293,82500000.0,-7500000.0,0.8510921834396131,elite market memory: previous known value was €80.0m | elite trajectory probability is high (85%) | meaningful minutes in a title-winning side | heavy league usage: 2615 minutes | major squad role: 76% of team minutes | Transfermarkt has already moved him up from €80.0m,"model likes him, but not enough to fully match current market price (€72.0m vs €90.0m)",elite trajectory floor: €62.0m | elite market sanity floor: €76.5m | elite non-attacking role floor: €80.0m | value-band calibration moved estimate up by €2.5m | final estimate is €10.5m above pure football-ability value,"William Saliba: the model sees him as broadly fairly valued. The raw football-ability estimate was €72.0m, but guardrail logic protected the final valuation at €82.5m.",7500000.0
659813,Piero Hincapié,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,24.369609856262834,1792,50000000.0,26477326.201461628,28245728.263920873,-21754271.736079127,0.4155068126786944,meaningful minutes in a title-winning side | strong market memory: previous known value was €50.0m | long contract runway (5.1 years) | prime-development age profile (24.4),football-ability estimate is well below current market price (€26.5m vs €50.0m) | high own goals for Centre-Backs (88th percentile) | high-value player with limited current PL sample and no previous PL value anchor,value-band calibration moved estimate up by €1.8m,Piero Hincapié: the model sees him as overvalued versus Transfermarkt. Final model value is €28.2m.,21754271.736079127
646750,Cristhian Mosquera,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,21.905544147843944,989,35000000.0,23205369.982187867,24973772.044647112,-10026227.955352888,0.2860383275465725,young age profile (21.9) supports upside | long contract runway (4.1 years),low aerial success for Centre-Backs (6th percentile) | low duel success for Centre-Backs (13th percentile),value-band calibration moved estimate up by €1.8m,Cristhian Mosquera: the model sees him as overvalued versus Transfermarkt. Final model value is €25.0m.,10026227.955352888
502821,Riccardo Calafiori,Arsenal FC,Arsenal FC,Defender,Left-Back,Left-Back,Left-Back,24.01368925393566,1708,50000000.0,36580811.59685688,38349213.65931612,-11650786.340683876,0.4897411411913104,strong aerial success for Left-Backs (95th percentile) | strong duel success for Left-Backs (92th percentile) | meaningful minutes in a title-winning side | Transfermarkt has already moved him up from €35.0m | prime-development age profile (24.0),"model likes him, but not enough to fully match current market price (€36.6m vs €50.0m)",value-band calibration moved estimate up by €1.8m,Riccardo Calafiori: the model sees him as overvalued versus Transfermarkt. Final model value is €38.3m.,11650786.340683876
890721,Myles Lewis-Skelly,Arsenal FC,Arsenal FC,Defender,Left-Back,Left-Back,Left-Back,19.65776865160849,698,40000000.0,37109928.670801714,38878330.73326096,-1121669.2667390406,0.2867554233444789,young age profile (19.7) supports upside | strong market memory: previous known value was €45.0m | long contract runway (4.1 years),limited sample/current-season minutes: 698 | small squad role: 20% of team minutes,value-band calibration moved estimate up by €1.8m,Myles Lewis-Skelly: the model sees him as broadly fairly valued. Final model value is €38.9m.,1121669.2667390406
420243,Jurriën Timber,Arsenal FC,Arsenal FC,Defender,Right-Back,Right-Back,Right-Back,24.933607118412045,2457,70000000.0,55544482.0991272,62000000.0,-8000000.0,0.8375288980954847,elite trajectory probability is high (84%) | strong aerial success for Right-Backs (88th percentile) | meaningful minutes in a title-winning side | major squad role: 72% of team minutes | strong market memory: previous known value was €55.0m | Transfermarkt has already moved him up from €55.0m,"model likes him, but not enough to fully match current market price (€55.5m vs €70.0m)",elite trajectory floor: €42.3m | elite market sanity floor: €59.5m | value-band calibration moved estimate up by €2.5m | final estimate is €6.5m above pure football-ability value,"Jurriën Timber: the model sees him as broadly fairly valued. The raw football-ability estimate was €55.5m, but guardrail logic protected the final valuation at €62.0m.",8000000.0
335721,Ben White,Arsenal FC,Arsenal FC,Defender,Right-Back,Right-Back,Right-Back,28.62422997946612,704,30000000.0,36138559.60436764,36138559.60436764,6138559.604367644,0.0,strong blocks for Right-Backs (87th percentile) | strong market memory: previous known value was €45.0m,limited sample/current-season minutes: 704 | recent market value fell from €45.0m to €30.0m | small squad role: 21% of team minutes,,Ben White: the model sees him as broadly fairly valued. Final model value is €36.1m.,6138559.604367644
